Type,Name,Address,Rooms,Grade,District,PS/MC/UC,Logitiute,Latitude,AGA Division
bangalows,colombo villa,"16/6, cambridge place, colombo 7",4,deluxe,colombo,colombo divisional secretariat,79.860018,6.907345,colombo
bangalows,the wind,"16.b, andiyambalama",1,standard,gampaha,katana divisional secretariat,nan,nan,gampaha
bangalows,lodge 19,"no 19, ave maria road, negombo",6,deluxe,gampaha,negombo divisional secretariat,79.843006,7.214054,negombo
bangalows,villa maggona,"82/2, galle road, maggona",4,deluxe,kalutara,kalutara divisional secretariat,nan,nan,kalutara pradeshiya sabha
bangalows,allspice villa,"730a, kotte road, ethul kotte",4,deluxe,colombo,sri jayawadanapura,79.905837,6.895521,sri jayawardenapura-kotte
bangalows,new old dutch house,"no 21, middle street, fort, galle",6,standard,galle,galle divisional secretariat,80.21553,6.028071,galle
bangalows,the privacy eco lodge,"394, akurala, kahawa",3,standard,galle,hikkaduwa divisional secretariat,nan,nan,hikkaduwa
bangalows,kirchhayn bungalow,"kirchhayn bungalow, aislaby farm & estate, bandarawela",5,deluxe,badulla,bandarawela divisional secretariat,80.98351,6.864006,bandarawela pradeshiya sabha
bangalows,villa 4 u,"villa 4 u"", shramadhana mawatha, kaluwamodara, aluthgama",4,deluxe,kalutara,beruwala divisional secretariat,79.997339,6.444442,beruwala pradeshiya sabha
bangalows,eco jungle hideout,"eco jungle hideout, beragama, makadura, mulatiana",4,superior,matara,mulatiyana divisional secretariat,80.566296,6.162424,mulatiyana pradeshiya sabha
bangalows,grove sri lanka,"dias watte, attavillu, palavia, puttalam",2,deluxe,puttalam,puttalam divisional secretariat,79.843058,7.979181,puttalam pradeshiya sabha
bangalows,jasmin villa,"jasmin villa, dambulla road, habarana",3,superior,anuradhapura,palugaswewa,nan,nan,anuradhapura
bangalows,coco palms,"coco palms, yakkala estate, tank road, ibbagamuwa",3,superior,kurunegala,ibbagamuwa divisional secretariat,nan,nan,ibbagamuwa pradeshiya sabha
bangalows,sevenagama,"sevanagama road, off trinco road, habarana",4,superior,anuradhapura,palugaswewa,80.75421,8.049015,palugaswewa
bangalows,kumbukgas mankada-sigiriya,"kumbukgas mankada, audangawa, sigiriya",3,superior,matale,dambulla divisional secretariat,80.743527,8.000215,dambulla pradeshiya sabha
bangalows,villa 29 rathnagiri,"no. 29, ratnagiri, akurala,kahawa.",4,standard,galle,hikkaduwa divisional secretariat,nan,nan,hikkaduwa
bangalows,dutch house,"dutch house, ""sagala"",poonagala road, bandarawela",2,deluxe,badulla,bandarawela divisional secretariat,80.998309,6.824441,bandarawela pradeshiya sabha
bangalows,white house-ampara,"no 229, new town, ampara",5,superior,ampara,ampara divisional secretariat,81.685484,7.299177,ampara
bangalows,golden nest villa,"no 50 a, thapodarama temple road, hantana, kandy",5,deluxe,kandy,kandy divisional secretariat,nan,nan,gagawata koralya
bangalows,15 l m d,"no 87, lady manning drive , batticaloa",4,standard,batticaloa,batticaloa divisional secretariat,nan,nan,batticaloa
bangalows,the sanctuary boutique bungalow,"no 29 ""dumidu sevana"", devi road, watapuluwa, kandy.",4,deluxe,kandy,kandy divisional secretariat,nan,nan,kandy
bangalows,kizuna house,"meegahapallassa junction, meegahapallassa, welipannagahamulla",4,deluxe,kurunegala,udubaddawa divisional secretariat,79.942617,7.446826,udubaddawa pradeshiya sabha
bangalows,supun villa,"supun villa, pitarama, bentota",5,deluxe,galle,benthota divisional secretariat,79.998279,6.42059,bentota pradeshiya sabha
bangalows,ferncliff boutique bungalow,"no 7/10,wedder burn road,nuwara eliya",4,deluxe,nuwara eliya,nuwara eliya divisional secretariat,80.76969,6.971091,nuwara eliya
bangalows,the ficus grove,"anuradhapura road,habarana",5,deluxe,anuradhapura,palugaswewa,80.745094,8.044281,pathahewaheta
bangalows,cocoworld bungalow,"maligawa estate,ranawiru siri nandana mawatha,hammaliya,bandara koswatta",2,superior,kurunegala,wariyapola divisional secretariat,nan,nan,panduwasnuwara pradeshiya sabha
